pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
Ipsos,1.05,a,2022-05-10,42.39,1005.0,50.39,154
YouGov,0.93,rv,2022-05-10,42.0,1361.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-10,40.0,1500.0,59.0,277
Morning Consult,1.0,rv,2022-05-09,42.0,2005.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-09,41.0,1500.0,57.0,277
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-08,43.0,1500.0,55.0,277
TIPP,1.3,a,2022-05-06,39.0,1320.0,47.0,144
Engine Insights,1.0,rv,2022-05-06,43.6,833.0,52.6,37
YouGov,0.93,rv,2022-05-06,43.0,1215.0,54.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-05,45.0,1500.0,53.0,277
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-04,43.0,1500.0,55.0,277
Morning Consult,1.0,rv,2022-05-03,44.0,1955.0,54.0,218
Ipsos,1.05,a,2022-05-03,44.35,1005.0,49.6,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-03,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-05-03,46.0,1303.0,50.0,391
Morning Consult,1.0,a,2022-05-03,41.0,2210.0,54.0,218
Morning Consult,1.0,a,2022-05-03,41.0,45000.0,51.0,218
Morning Consult,1.0,rv,2022-05-02,41.0,2000.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-02,43.0,1500.0,55.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-05-02,42.0,999.0,55.0,413
Morning Consult,1.0,a,2022-05-02,41.0,45000.0,51.0,218
Redfield & Wilton Strategies,0.3,rv,2022-05-01,39.0,1500.0,47.0,562
Léger,0.9,a,2022-05-01,43.0,1005.0,55.0,572
Beacon Research/Shaw & Company,1.0,rv,2022-05-01,45.0,1003.0,53.0,103
SSRS,0.65,rv,2022-05-01,41.0,806.0,59.0,297
Rasmussen (Pulse Opinion Research),0.93,lv,2022-05-01,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2022-05-01,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-04-30,41.0,45000.0,51.0,218
Fairleigh Dickinson,0.9,a,2022-04-29,38.0,1021.0,49.0,92
Morning Consult,1.0,a,2022-04-29,40.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-28,42.0,1500.0,55.0,277
ABC/Washington Post,1.2,rv,2022-04-28,42.0,907.0,52.0,3
Morning Consult,1.0,a,2022-04-28,40.0,45000.0,51.0,218
YouGov,0.93,rv,2022-04-27,43.0,1336.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-27,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-27,40.0,45000.0,51.0,218
Susquehanna,0.93,lv,2022-04-27,39.0,800.0,54.0,326
Ipsos,1.05,a,2022-04-26,42.15,1005.0,53.47,154
Emerson College Polling Society,1.05,rv,2022-04-26,41.7,1000.0,49.7,88
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-26,41.0,1500.0,58.0,277
McLaughlin,0.4,lv,2022-04-26,41.0,1000.0,57.0,203
Morning Consult,1.0,a,2022-04-26,40.0,45000.0,51.0,218
Marist,1.0,rv,2022-04-26,42.0,1162.0,53.0,183
Morning Consult,1.0,rv,2022-04-25,42.0,2004.0,55.0,218
Morning Consult,1.0,rv,2022-04-25,42.0,2004.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-25,41.0,1500.0,58.0,277
Quinnipiac,1.0,rv,2022-04-25,40.0,1409.0,51.0,267
Morning Consult,1.0,a,2022-04-25,40.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-24,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-24,40.0,45000.0,52.0,218
InsiderAdvantage,0.93,lv,2022-04-23,43.0,750.0,54.0,243
RMG Research,0.85,rv,2022-04-23,42.0,1200.0,53.0,555
Morning Consult,1.0,a,2022-04-23,40.0,45000.0,52.0,218
Engine Insights,1.0,rv,2022-04-22,43.8,817.0,51.1,37
YouGov,0.93,rv,2022-04-22,44.0,1187.0,52.0,391
Morning Consult,1.0,a,2022-04-22,40.0,45000.0,52.0,218
Harris Poll,1.05,rv,2022-04-21,41.0,1966.0,54.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-21,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-21,42.0,2206.0,53.0,218
Morning Consult,1.0,a,2022-04-21,40.0,45000.0,52.0,218
RMG Research,0.85,rv,2022-04-20,39.0,1200.0,55.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-20,43.0,1500.0,56.0,277
American Research Group,0.75,rv,2022-04-20,39.0,993.0,55.0,9
Trafalgar Group,1.05,lv,2022-04-20,39.6,1077.0,55.3,338
Echelon Insights,0.9,lv,2022-04-20,44.0,1001.0,55.0,407
Morning Consult,1.0,a,2022-04-20,40.0,45000.0,52.0,218
Ipsos,1.05,a,2022-04-19,43.27,1005.0,51.32,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-19,43.0,1500.0,56.0,277
YouGov,0.93,rv,2022-04-19,43.0,1260.0,51.0,391
Morning Consult,1.0,a,2022-04-19,40.0,45000.0,52.0,218
Gallup,1.05,a,2022-04-19,41.0,1018.0,56.0,112
Redfield & Wilton Strategies,0.3,rv,2022-04-18,38.0,1500.0,47.0,562
NewsNation/Decision Desk HQ,0.6,rv,2022-04-18,47.4,1038.0,52.6,696
Cygnal Political,1.05,lv,2022-04-18,44.6,5846.0,53.7,67
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-18,45.0,1500.0,53.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-04-18,46.0,997.0,52.0,413
AP-NORC,0.6,a,2022-04-18,45.0,1085.0,54.0,397
Morning Consult,1.0,a,2022-04-18,40.0,45000.0,51.0,218
POS,1.0,rv,2022-04-18,44.0,1500.0,56.0,260
Morning Consult,1.0,a,2022-04-17,43.0,2210.0,52.0,218
Morning Consult,1.0,rv,2022-04-17,45.0,2005.0,52.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-17,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2022-04-17,40.0,45000.0,51.0,218
RMG Research,0.85,rv,2022-04-16,41.0,1200.0,55.0,555
Morning Consult,1.0,a,2022-04-16,40.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-04-15,41.0,45000.0,51.0,218
RMG Research,0.85,rv,2022-04-14,43.0,1200.0,53.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-14,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-04-14,41.0,45000.0,51.0,218
RMG Research,0.85,rv,2022-04-13,43.0,1200.0,51.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-13,40.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-04-13,41.0,45000.0,50.0,218
Ipsos,1.05,a,2022-04-12,40.76,1005.0,53.2,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-12,41.0,1500.0,58.0,277
YouGov,0.93,rv,2022-04-12,46.0,1303.0,49.0,391
Morning Consult,1.0,a,2022-04-12,42.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-04-11,42.0,2005.0,55.0,218
Morning Consult,1.0,a,2022-04-11,40.0,2210.0,54.0,218
Morning Consult,1.0,rv,2022-04-11,41.0,2005.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-11,41.0,1500.0,58.0,277
Quinnipiac,1.0,rv,2022-04-11,35.0,1256.0,55.0,267
Morning Consult,1.0,a,2022-04-11,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-04-10,40.0,2210.0,53.0,218
Hart Research Associates/Public Opinion Strategies,1.1,a,2022-04-10,38.0,800.0,53.0,221
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-10,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-10,43.0,45000.0,49.0,218
RMG Research,0.85,rv,2022-04-09,40.0,1200.0,55.0,555
Morning Consult,1.0,a,2022-04-09,43.0,45000.0,49.0,218
TIPP,1.3,a,2022-04-08,42.0,1305.0,43.0,144
Engine Insights,1.0,rv,2022-04-08,39.9,814.0,54.3,37
YouGov,0.93,a,2022-04-08,42.0,2062.0,58.0,391
Morning Consult,1.0,a,2022-04-08,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-07,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-04-07,44.0,45000.0,48.0,218
RMG Research,0.85,rv,2022-04-06,43.0,1200.0,51.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-06,43.0,1500.0,55.0,277
Morning Consult,1.0,a,2022-04-06,44.0,45000.0,48.0,218
Ipsos,1.05,a,2022-04-05,45.11,1001.0,50.15,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-05,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-04-05,43.0,1287.0,50.0,391
Morning Consult,1.0,a,2022-04-05,44.0,45000.0,48.0,218
Morning Consult,1.0,rv,2022-04-04,42.0,2003.0,55.0,218
Data for Progress,0.93,lv,2022-04-04,44.0,1253.0,54.0,522
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-04,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-04-04,43.0,1233.0,53.0,391
Quinnipiac,1.0,rv,2022-04-04,40.0,1280.0,54.0,267
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-04-04,45.0,998.0,52.0,413
Morning Consult,1.0,a,2022-04-04,44.0,45000.0,48.0,218
Redfield & Wilton Strategies,0.3,rv,2022-04-03,39.0,1500.0,48.0,562
RMG Research,0.85,rv,2022-04-03,39.0,1200.0,53.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-04-03,42.0,1500.0,56.0,277
Morning Consult,1.0,a,2022-04-03,44.0,45000.0,49.0,218
RMG Research,0.85,rv,2022-04-02,41.0,1200.0,53.0,555
Morning Consult,1.0,a,2022-04-02,43.0,45000.0,49.0,218
Morning Consult,1.0,rv,2022-04-01,43.0,2005.0,53.0,218
Morning Consult,1.0,a,2022-04-01,43.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-03-31,40.0,2210.0,54.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-31,40.0,1500.0,58.0,277
Morning Consult,1.0,rv,2022-03-31,42.0,2005.0,55.0,218
Climate Nexus,0.6,rv,2022-03-31,44.0,1965.0,53.0,506
Morning Consult,1.0,a,2022-03-31,42.0,45000.0,50.0,218
RMG Research,0.85,rv,2022-03-30,40.0,1200.0,56.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-30,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-03-30,42.0,45000.0,50.0,218
Ipsos,1.05,a,2022-03-29,41.99,1005.0,52.04,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-29,41.0,1500.0,58.0,277
YouGov,0.93,rv,2022-03-29,45.0,1313.0,49.0,391
Morning Consult,1.0,a,2022-03-29,42.0,45000.0,50.0,218
Marist,1.0,rv,2022-03-29,39.0,1046.0,55.0,183
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-28,43.0,1500.0,56.0,277
Quinnipiac,1.0,rv,2022-03-28,38.0,1286.0,55.0,267
Morning Consult,1.0,a,2022-03-28,42.0,45000.0,51.0,218
Morning Consult,1.0,rv,2022-03-27,42.0,2006.0,54.0,218
Research Co.,1.0,a,2022-03-27,42.0,1000.0,52.0,449
Engine Insights,1.0,rv,2022-03-27,46.8,839.0,49.9,37
RMG Research,0.85,rv,2022-03-27,42.0,1200.0,53.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-27,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2022-03-27,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-03-26,41.0,45000.0,51.0,218
co/efficient,1.08,lv,2022-03-25,37.0,963.0,56.0,514
Morning Consult,1.0,a,2022-03-25,41.0,45000.0,50.0,218
Harris Poll,1.05,rv,2022-03-24,39.0,1990.0,55.0,133
Momentive,0.75,a,2022-03-24,45.0,3953.0,52.0,324
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-24,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-03-24,41.0,45000.0,51.0,218
Marquette Law School,1.08,a,2022-03-24,44.0,1004.0,55.0,195
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-23,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-03-23,41.0,45000.0,50.0,218
Ipsos,1.05,a,2022-03-22,39.96,1005.0,54.43,154
NewsNation/Decision Desk HQ,0.6,rv,2022-03-22,44.03,1086.0,55.97,696
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-22,42.0,1500.0,57.0,277
YouGov,0.93,rv,2022-03-22,45.0,1270.0,49.0,391
Hart Research Associates/Public Opinion Strategies,1.1,rv,2022-03-22,41.0,790.0,54.0,221
McLaughlin,0.4,lv,2022-03-22,41.0,1000.0,57.0,203
Morning Consult,1.0,a,2022-03-22,41.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-03-21,42.0,2005.0,55.0,218
Echelon Insights,0.9,lv,2022-03-21,45.0,1050.0,53.0,407
Beacon Research/Shaw & Company,1.0,rv,2022-03-21,45.0,1004.0,54.0,103
Morning Consult,1.0,a,2022-03-21,38.0,2211.0,56.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-21,41.0,1500.0,58.0,277
AP-NORC,0.6,a,2022-03-21,43.0,1082.0,56.0,397
Morning Consult,1.0,a,2022-03-21,41.0,45000.0,51.0,218
U. Massachusetts - Lowell,1.0,a,2022-03-21,43.0,1000.0,57.0,355
Hofstra University,0.6,rv,2022-03-21,42.67,2000.0,57.33,558
Redfield & Wilton Strategies,0.3,rv,2022-03-20,39.0,1500.0,45.0,562
Emerson College Polling Society,1.05,rv,2022-03-20,42.7,1023.0,48.6,88
Léger,0.9,a,2022-03-20,47.0,1000.0,51.0,572
American Research Group,0.75,rv,2022-03-20,46.0,994.0,50.0,9
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-03-20,44.0,1000.0,52.0,413
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-20,40.0,1500.0,58.0,277
Selzer,1.3,a,2022-03-20,34.0,1002.0,52.0,304
Morning Consult,1.0,a,2022-03-20,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-03-19,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-03-18,41.0,4419.0,54.0,218
Morning Consult,1.0,a,2022-03-18,41.0,45000.0,51.0,218
Gallup,1.05,a,2022-03-18,42.0,1017.0,54.0,112
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-17,38.0,1500.0,60.0,277
Morning Consult,1.0,a,2022-03-17,43.0,2210.0,53.0,218
Morning Consult,1.0,a,2022-03-17,41.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-16,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-03-16,41.0,45000.0,51.0,218
Ipsos,1.05,a,2022-03-15,42.66,1005.0,53.46,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-15,42.0,1500.0,57.0,277
YouGov,0.93,rv,2022-03-15,41.0,1292.0,53.0,391
Morning Consult,1.0,a,2022-03-15,41.0,45000.0,51.0,218
Winston,0.9,rv,2022-03-14,44.0,1000.0,48.0,385
Morning Consult,1.0,rv,2022-03-14,41.0,2005.0,56.0,218
Morning Consult,1.0,a,2022-03-14,40.0,2210.0,54.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-14,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-03-14,45.0,1225.0,53.0,391
Quinnipiac,1.0,rv,2022-03-14,40.0,1754.0,53.0,267
Monmouth U.,1.0,rv,2022-03-14,39.0,746.0,55.0,215
Morning Consult,1.0,a,2022-03-14,41.0,45000.0,51.0,218
SocialSphere,0.6,rv,2022-03-14,41.0,6565.0,54.0,307
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-13,40.0,1500.0,58.0,277
Pew,0.9,a,2022-03-13,43.0,10441.0,55.0,253
Morning Consult,1.0,a,2022-03-13,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-03-12,42.0,45000.0,51.0,218
Saint Leo U.,0.3,a,2022-03-12,44.8,1000.0,53.0,299
Engine Insights,1.0,rv,2022-03-11,42.2,823.0,53.3,37
YouGov,0.93,a,2022-03-11,43.0,2088.0,57.0,391
Morning Consult,1.0,a,2022-03-11,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-10,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-03-10,42.0,45000.0,50.0,218
Trafalgar Group,1.05,lv,2022-03-09,41.8,1080.0,52.4,338
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-09,39.0,1500.0,60.0,277
Morning Consult,1.0,a,2022-03-09,42.0,45000.0,50.0,218
Schoen Cooperman,0.9,lv,2022-03-09,45.0,800.0,54.0,301
Momentive,0.75,a,2022-03-09,45.0,16901.0,54.0,324
Redfield & Wilton Strategies,0.3,rv,2022-03-08,37.0,1500.0,47.0,562
Ipsos,1.05,a,2022-03-08,44.92,1005.0,48.7,154
InsiderAdvantage,0.93,lv,2022-03-08,42.0,750.0,54.0,243
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-08,41.0,1500.0,57.0,277
YouGov,0.93,rv,2022-03-08,45.0,1227.0,49.0,391
Morning Consult,1.0,a,2022-03-08,42.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-03-07,46.0,2005.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-07,41.0,1500.0,58.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-03-07,45.0,1000.0,53.0,413
Fabrizio/Impact,0.6,rv,2022-03-07,42.0,1500.0,57.0,694
Morning Consult,1.0,a,2022-03-07,42.0,45000.0,50.0,218
Quinnipiac,1.0,rv,2022-03-06,40.0,1234.0,51.0,267
Morning Consult,1.0,rv,2022-03-06,45.0,2005.0,51.0,218
Léger,0.9,a,2022-03-06,48.0,1003.0,49.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-06,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2022-03-06,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-03-05,45.0,4420.0,50.0,218
Morning Consult,1.0,a,2022-03-05,42.0,45000.0,50.0,218
TIPP,1.3,a,2022-03-04,39.0,1318.0,47.0,144
Morning Consult,1.0,a,2022-03-04,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-03,42.0,1500.0,55.0,277
"Cor Services, Inc.",0.6,lv,2022-03-03,47.0,524.0,48.0,688
Morning Consult,1.0,a,2022-03-03,42.0,45000.0,50.0,218
Marist,1.0,rv,2022-03-02,47.0,1237.0,51.0,183
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-02,44.0,1500.0,54.0,277
Morning Consult,1.0,a,2022-03-02,42.0,45000.0,50.0,218
Ipsos,1.05,a,2022-03-01,42.59,1005.0,54.06,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-03-01,42.0,1500.0,56.0,277
YouGov,0.93,rv,2022-03-01,44.0,1205.0,49.0,391
Morning Consult,1.0,a,2022-03-01,42.0,45000.0,50.0,218
YouGov,0.93,a,2022-02-28,44.0,2238.0,56.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-28,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-02-28,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-02-27,42.0,2210.0,54.0,218
Morning Consult,1.0,rv,2022-02-27,41.0,2004.0,56.0,218
Quinnipiac,1.0,rv,2022-02-27,38.0,1223.0,52.0,267
YouGov,0.93,rv,2022-02-27,41.0,1168.0,55.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-27,40.0,1500.0,59.0,277
Morning Consult,1.0,a,2022-02-27,42.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-02-26,44.0,2002.0,54.0,218
Morning Consult,1.0,a,2022-02-26,42.0,45000.0,50.0,218
YouGov Blue,0.6,rv,2022-02-25,41.0,1007.0,55.0,511
Engine Insights,1.0,rv,2022-02-25,42.6,811.0,50.3,37
Morning Consult,1.0,a,2022-02-25,42.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-02-24,47.0,1717.0,51.0,218
Harris Poll,1.05,rv,2022-02-24,38.0,2026.0,55.0,133
NewsNation/Decision Desk HQ,0.6,rv,2022-02-24,42.8,1046.0,57.2,696
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-24,40.0,1500.0,58.0,277
ABC/Washington Post,1.2,a,2022-02-24,37.0,1011.0,55.0,3
Morning Consult,1.0,a,2022-02-24,42.0,45000.0,50.0,218
Redfield & Wilton Strategies,0.3,rv,2022-02-23,39.0,1500.0,41.0,562
Ipsos,1.05,a,2022-02-23,43.07,1004.0,53.07,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-23,42.0,1500.0,57.0,277
Echelon Insights,0.9,rv,2022-02-23,44.0,1078.0,53.0,407
Bullfinch,0.6,rv,2022-02-23,45.0,1044.0,52.0,692
Morning Consult,1.0,a,2022-02-23,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-22,45.0,1500.0,55.0,277
YouGov,0.93,rv,2022-02-22,44.0,1290.0,50.0,391
Beacon Research/Shaw & Company,1.0,rv,2022-02-22,43.0,1001.0,56.0,103
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-02-22,43.0,1770.0,55.0,413
Morning Consult,1.0,a,2022-02-22,42.0,45000.0,50.0,218
McLaughlin,0.4,lv,2022-02-22,41.0,1000.0,57.0,203
Morning Consult,1.0,rv,2022-02-21,45.0,2005.0,53.0,218
AP-NORC,0.6,a,2022-02-21,44.0,1289.0,55.0,397
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-21,46.0,1500.0,53.0,277
Morning Consult,1.0,a,2022-02-21,42.0,45000.0,50.0,218
Marist,1.0,rv,2022-02-21,40.0,1079.0,55.0,183
Emerson College Polling Society,1.05,rv,2022-02-20,42.0,1138.0,49.7,88
Morning Consult,1.0,rv,2022-02-20,45.0,2005.0,51.0,218
Morning Consult,1.0,rv,2022-02-20,44.0,4009.0,53.0,218
Morning Consult,1.0,rv,2022-02-20,44.0,2005.0,52.0,218
American Research Group,0.75,rv,2022-02-20,45.0,995.0,51.0,9
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-20,45.0,1500.0,54.0,277
Suffolk,1.0,rv,2022-02-20,39.4,1000.0,56.6,323
Morning Consult,1.0,a,2022-02-20,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-02-19,41.0,45000.0,50.0,218
YouGov,0.93,a,2022-02-18,43.0,2484.0,57.0,391
Morning Consult,1.0,a,2022-02-18,41.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-17,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2022-02-17,41.0,45000.0,50.0,218
Tarrance,0.93,rv,2022-02-17,41.0,800.0,53.0,333
Gallup,1.05,a,2022-02-17,41.0,1008.0,55.0,112
Winston,0.9,rv,2022-02-16,43.0,1000.0,47.0,385
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-16,41.0,1500.0,58.0,277
Trafalgar Group,1.05,lv,2022-02-16,39.1,1078.0,58.2,338
Morning Consult,1.0,a,2022-02-16,41.0,45000.0,50.0,218
Ipsos,1.05,a,2022-02-15,44.26,1005.0,50.81,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-15,41.0,1500.0,58.0,277
YouGov,0.93,rv,2022-02-15,42.0,1231.0,52.0,391
Morning Consult,1.0,a,2022-02-15,41.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-14,40.0,1500.0,59.0,277
Quinnipiac,1.0,rv,2022-02-14,37.0,1172.0,56.0,267
Morning Consult,1.0,a,2022-02-14,41.0,45000.0,50.0,218
Morning Consult,1.0,rv,2022-02-13,43.0,2005.0,53.0,218
Morning Consult,1.0,a,2022-02-13,42.0,2210.0,52.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-13,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-02-13,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-02-12,42.0,45000.0,50.0,218
Engine Insights,1.0,rv,2022-02-11,43.6,813.0,52.2,37
YouGov,0.93,a,2022-02-11,44.0,2578.0,56.0,391
Morning Consult,1.0,a,2022-02-11,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-02-10,44.0,2210.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-10,42.0,1500.0,56.0,277
Morning Consult,1.0,a,2022-02-10,41.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-09,43.0,1500.0,55.0,277
Morning Consult,1.0,a,2022-02-09,41.0,45000.0,51.0,218
Susquehanna,0.93,lv,2022-02-09,42.0,800.0,52.0,326
Ipsos,1.05,a,2022-02-08,43.18,1005.0,50.65,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-08,40.0,1500.0,58.0,277
