pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
YouGov,0.93,rv,2022-02-08,41.0,1255.0,51.0,391
POS,1.0,rv,2022-02-08,43.0,1000.0,54.0,260
Morning Consult,1.0,a,2022-02-08,41.0,45000.0,51.0,218
Morning Consult,1.0,rv,2022-02-07,43.0,2005.0,55.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-07,41.0,1500.0,57.0,277
YouGov,0.93,rv,2022-02-07,45.0,1230.0,51.0,391
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-02-07,43.0,1000.0,55.0,413
SurveyMonkey,0.75,a,2022-02-07,44.0,7590.0,53.0,324
Morning Consult,1.0,a,2022-02-07,41.0,45000.0,51.0,218
Ipsos,1.05,a,2022-02-07,45.0,4404.0,52.0,154
Redfield & Wilton Strategies,0.3,rv,2022-02-06,38.0,1500.0,48.0,562
Morning Consult,1.0,rv,2022-02-06,41.0,2005.0,55.0,218
Léger,0.9,a,2022-02-06,42.0,1005.0,55.0,572
Morning Consult,1.0,a,2022-02-06,45.0,2209.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-06,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2022-02-06,41.0,45000.0,51.0,218
SSRS,0.65,rv,2022-02-06,42.0,1257.0,57.0,297
Morning Consult,1.0,a,2022-02-05,40.0,45000.0,51.0,218
TIPP,1.3,a,2022-02-04,38.0,1355.0,48.0,144
Morning Consult,1.0,a,2022-02-04,41.0,45000.0,51.0,218
Ipsos,1.05,a,2022-02-03,40.6,1005.0,56.29,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-03,43.0,1500.0,55.0,277
Morning Consult,1.0,a,2022-02-03,41.0,45000.0,51.0,218
Morning Consult,1.0,a,2022-02-02,42.0,2210.0,52.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-02,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-02-02,41.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-02-01,39.0,1500.0,59.0,277
YouGov,0.93,rv,2022-02-01,45.0,1273.0,49.0,391
Morning Consult,1.0,a,2022-02-01,41.0,45000.0,51.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-31,39.0,1500.0,59.0,277
Morning Consult,1.0,a,2022-01-31,41.0,45000.0,51.0,218
Morning Consult,1.0,rv,2022-01-30,43.0,2005.0,54.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-30,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-01-30,41.0,45000.0,51.0,218
PPP,1.0,rv,2022-01-29,40.0,662.0,49.0,263
Morning Consult,1.0,a,2022-01-29,41.0,45000.0,51.0,218
Engine Insights,1.0,rv,2022-01-28,42.5,808.0,54.3,37
Morning Consult,1.0,a,2022-01-28,41.0,45000.0,51.0,218
Ipsos,1.05,a,2022-01-27,45.32,1002.0,50.48,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-27,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-01-27,41.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-26,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-01-26,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-25,39.0,1500.0,60.0,277
YouGov,0.93,rv,2022-01-25,41.0,1249.0,51.0,391
Morning Consult,1.0,a,2022-01-25,42.0,45000.0,50.0,218
Zogby,0.85,lv,2022-01-24,44.3,897.0,49.0,395
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-24,40.0,1500.0,59.0,277
Monmouth U.,1.0,rv,2022-01-24,38.0,735.0,55.0,215
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-01-24,46.0,1000.0,52.0,413
YouGov,0.93,rv,2022-01-24,41.0,1189.0,54.0,391
Morning Consult,1.0,a,2022-01-24,42.0,45000.0,50.0,218
Momentive,0.75,a,2022-01-24,45.0,12136.0,53.0,324
Morning Consult,1.0,rv,2022-01-23,41.0,2005.0,56.0,218
Morning Consult,1.0,rv,2022-01-23,42.0,2005.0,55.0,218
Morning Consult,1.0,a,2022-01-23,43.0,2211.0,50.0,218
Morning Consult,1.0,a,2022-01-23,41.0,2210.0,53.0,218
InsiderAdvantage,0.93,lv,2022-01-23,40.0,850.0,59.0,243
Echelon Insights,0.9,rv,2022-01-23,46.0,1029.0,52.0,407
Léger,0.9,a,2022-01-23,42.0,1000.0,56.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-23,40.0,1500.0,59.0,277
Morning Consult,1.0,a,2022-01-23,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-01-22,43.0,45000.0,49.0,218
Morning Consult,1.0,a,2022-01-21,43.0,45000.0,49.0,218
Marquette Law School,1.08,a,2022-01-21,46.0,1000.0,53.0,195
Ipsos,1.05,a,2022-01-20,43.27,1004.0,51.55,154
Harris Poll,1.05,rv,2022-01-20,39.0,1815.0,53.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-20,41.0,1500.0,58.0,277
American Research Group,0.75,rv,2022-01-20,43.0,994.0,53.0,9
Morning Consult,1.0,a,2022-01-20,43.0,45000.0,49.0,218
RMG Research,0.85,rv,2022-01-19,42.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-19,40.0,1500.0,58.0,277
Beacon Research/Shaw & Company,1.0,rv,2022-01-19,47.0,1001.0,52.0,103
Morning Consult,1.0,a,2022-01-19,43.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-18,41.0,1500.0,58.0,277
YouGov,0.93,rv,2022-01-18,42.0,1162.0,53.0,391
Hart Research Associates/Public Opinion Strategies,1.1,rv,2022-01-18,44.0,790.0,54.0,221
McLaughlin,0.4,lv,2022-01-18,41.0,1000.0,57.0,203
AP-NORC,0.6,a,2022-01-18,43.0,1161.0,56.0,397
Morning Consult,1.0,a,2022-01-18,43.0,45000.0,49.0,218
Echelon Insights,0.9,rv,2022-01-17,45.0,1000.0,52.0,407
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-17,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-01-17,43.0,45000.0,49.0,218
Pew,0.9,a,2022-01-17,41.0,5128.0,56.0,253
Morning Consult,1.0,rv,2022-01-16,40.0,2005.0,56.0,218
Morning Consult,1.0,a,2022-01-16,41.0,2210.0,52.0,218
Morning Consult,1.0,a,2022-01-16,43.0,4411.0,52.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-16,39.0,1500.0,60.0,277
Morning Consult,1.0,a,2022-01-16,43.0,45000.0,49.0,218
Gallup,1.05,a,2022-01-16,40.0,811.0,56.0,112
Morning Consult,1.0,a,2022-01-15,44.0,2210.0,51.0,218
Morning Consult,1.0,a,2022-01-15,44.0,2211.0,49.0,218
RMG Research,0.85,rv,2022-01-15,44.0,1200.0,50.0,555
Trafalgar Group,1.05,lv,2022-01-15,38.7,1083.0,59.2,338
Morning Consult,1.0,a,2022-01-15,43.0,45000.0,49.0,218
YouGov Blue,0.6,rv,2022-01-14,40.0,1055.0,55.0,511
YouGov,0.93,a,2022-01-14,44.0,2094.0,56.0,391
Morning Consult,1.0,a,2022-01-14,44.0,2210.0,50.0,218
Engine Insights,1.0,rv,2022-01-14,44.0,831.0,51.8,37
Morning Consult,1.0,a,2022-01-14,43.0,45000.0,49.0,218
Ipsos,1.05,a,2022-01-13,44.75,1005.0,49.55,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-13,38.0,1500.0,60.0,277
Morning Consult,1.0,a,2022-01-13,43.0,45000.0,48.0,218
RMG Research,0.85,rv,2022-01-12,40.0,1200.0,53.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-12,39.0,1500.0,59.0,277
Morning Consult,1.0,a,2022-01-12,43.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-11,40.0,1500.0,58.0,277
YouGov,0.93,rv,2022-01-11,45.0,1258.0,51.0,391
Morning Consult,1.0,a,2022-01-11,43.0,45000.0,49.0,218
NewsNation/Decision Desk HQ,0.6,rv,2022-01-10,42.1,1013.0,57.7,696
Quinnipiac,1.0,rv,2022-01-10,35.0,1178.0,54.0,267
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-10,40.0,1500.0,59.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2022-01-10,47.0,1000.0,51.0,413
Morning Consult,1.0,a,2022-01-10,43.0,45000.0,49.0,218
Morning Consult,1.0,rv,2022-01-09,44.0,2000.0,53.0,218
Morning Consult,1.0,a,2022-01-09,43.0,2200.0,51.0,218
Redfield & Wilton Strategies,0.3,rv,2022-01-09,39.0,1500.0,44.0,562
Morning Consult,1.0,a,2022-01-09,45.0,2201.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-09,41.0,1500.0,59.0,277
TIPP,1.3,a,2022-01-09,44.0,1308.0,45.0,144
Morning Consult,1.0,a,2022-01-09,43.0,45000.0,49.0,218
Morning Consult,1.0,a,2022-01-08,43.0,45000.0,49.0,218
RMG Research,0.85,rv,2022-01-07,41.0,1200.0,52.0,555
Morning Consult,1.0,a,2022-01-07,43.0,45000.0,49.0,218
Ipsos,1.05,a,2022-01-06,45.15,1000.0,50.55,154
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-06,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-01-06,43.0,45000.0,49.0,218
Morning Consult,1.0,a,2022-01-05,43.0,2200.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-05,43.0,1500.0,57.0,277
Morning Consult,1.0,a,2022-01-05,42.0,45000.0,50.0,218
RMG Research,0.85,rv,2022-01-04,42.0,1200.0,50.0,555
YouGov,0.93,rv,2022-01-04,43.0,1201.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-04,41.0,1500.0,58.0,277
Winston,0.9,rv,2022-01-04,46.0,1000.0,44.0,385
Morning Consult,1.0,a,2022-01-04,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-03,40.0,1500.0,58.0,277
Morning Consult,1.0,a,2022-01-03,42.0,45000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2022-01-02,40.0,1500.0,59.0,277
Morning Consult,1.0,a,2022-01-02,42.0,45000.0,50.0,218
Morning Consult,1.0,a,2022-01-01,43.0,45000.0,50.0,218
Morning Consult,1.0,a,2021-12-31,43.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-30,42.0,1500.0,57.0,277
Suffolk,1.0,rv,2021-12-30,40.2,1000.0,54.3,323
Morning Consult,1.0,a,2021-12-30,43.0,45000.0,49.0,218
Morning Consult,1.0,rv,2021-12-29,43.0,2000.0,54.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-29,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-12-29,44.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-28,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-12-28,44.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-27,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-12-27,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-26,40.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-12-26,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-12-25,44.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-12-24,45.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-12-23,45.0,45000.0,48.0,218
RMG Research,0.85,rv,2021-12-22,41.0,1200.0,53.0,555
Zogby,0.85,lv,2021-12-22,49.7,1311.0,48.4,395
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-22,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2021-12-22,44.0,45000.0,49.0,218
YouGov,0.93,rv,2021-12-21,42.0,1315.0,50.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-21,42.0,1500.0,57.0,277
Trafalgar Group,1.05,lv,2021-12-21,40.4,1073.0,55.9,338
Morning Consult,1.0,a,2021-12-21,45.0,45000.0,48.0,218
Morning Consult,1.0,rv,2021-12-20,43.0,1998.0,53.0,218
Morning Consult,1.0,rv,2021-12-20,44.0,2000.0,52.0,218
American Research Group,0.75,rv,2021-12-20,46.0,993.0,49.0,9
Change Research,0.85,rv,2021-12-20,44.0,1895.0,56.0,48
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-20,42.0,1500.0,57.0,277
YouGov,0.93,a,2021-12-20,41.0,1000.0,53.0,391
Morning Consult,1.0,a,2021-12-20,45.0,45000.0,48.0,218
InsiderAdvantage,0.93,rv,2021-12-19,41.0,750.0,58.0,243
Morning Consult,1.0,rv,2021-12-19,47.0,2000.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-19,41.0,1500.0,57.0,277
Morning Consult,1.0,a,2021-12-19,45.0,45000.0,48.0,218
Redfield & Wilton Strategies,0.3,rv,2021-12-18,41.0,1500.0,44.0,562
Morning Consult,1.0,a,2021-12-18,44.0,45000.0,48.0,218
John Zogby Strategies,0.9,lv,2021-12-17,46.3,777.0,52.1,583
RMG Research,0.85,rv,2021-12-17,41.0,1200.0,53.0,555
Ipsos,1.05,a,2021-12-17,48.0,1004.0,46.0,154
Ipsos,1.05,a,2021-12-17,48.0,4407.0,48.0,154
Morning Consult,1.0,a,2021-12-17,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-16,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-12-16,44.0,45000.0,48.0,218
Gallup,1.05,a,2021-12-16,43.0,811.0,51.0,112
RMG Research,0.85,rv,2021-12-15,42.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-15,40.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-12-15,44.0,45000.0,48.0,218
YouGov,0.93,rv,2021-12-14,43.0,1267.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-14,42.0,1500.0,56.0,277
Beacon Research/Shaw & Company,1.0,rv,2021-12-14,47.0,1002.0,51.0,103
Morning Consult,1.0,a,2021-12-14,44.0,45000.0,48.0,218
Morning Consult,1.0,rv,2021-12-13,46.0,1998.0,51.0,218
Marist,1.0,rv,2021-12-13,42.0,1310.0,55.0,183
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-13,41.0,1500.0,57.0,277
Echelon Insights,0.9,rv,2021-12-13,48.0,1020.0,51.0,407
YouGov,0.93,rv,2021-12-13,42.0,1163.0,54.0,391
Morning Consult,1.0,a,2021-12-13,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-12,43.0,1500.0,56.0,277
SSRS,0.65,rv,2021-12-12,48.0,,52.0,297
Morning Consult,1.0,a,2021-12-12,44.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-12-11,44.0,45000.0,48.0,218
Ipsos,1.05,a,2021-12-10,48.13,1004.0,48.22,154
RMG Research,0.85,rv,2021-12-10,41.0,1200.0,53.0,555
Morning Consult,1.0,a,2021-12-10,44.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-09,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-12-09,49.0,2200.0,47.0,218
Morning Consult,1.0,a,2021-12-09,44.0,45000.0,49.0,218
Schoen Cooperman,0.9,lv,2021-12-09,46.0,800.0,51.0,301
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-08,42.0,1500.0,56.0,277
RMG Research,0.85,rv,2021-12-08,45.0,1200.0,49.0,555
Morning Consult,1.0,a,2021-12-08,44.0,45000.0,48.0,218
HarrisX,1.05,rv,2021-12-07,45.0,926.0,50.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-07,42.0,1500.0,57.0,277
YouGov,0.93,rv,2021-12-07,42.0,1265.0,53.0,391
Morning Consult,1.0,a,2021-12-07,47.0,2200.0,47.0,218
AP-NORC,0.6,a,2021-12-07,48.0,1089.0,51.0,397
Morning Consult,1.0,a,2021-12-07,44.0,45000.0,48.0,218
McCourtney Institute/YouGov,0.93,a,2021-12-07,45.0,1200.0,55.0,391
Morning Consult,1.0,rv,2021-12-06,45.0,2000.0,51.0,218
Morning Consult,1.0,a,2021-12-06,48.0,2200.0,46.0,218
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-12-06,45.0,1000.0,52.0,413
Morning Consult,1.0,a,2021-12-06,47.0,2200.0,49.0,218
Morning Consult,1.0,a,2021-12-06,47.0,2200.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-06,42.0,1500.0,56.0,277
Monmouth U.,1.0,rv,2021-12-06,40.0,753.0,50.0,215
Morning Consult,1.0,a,2021-12-06,50.0,2200.0,46.0,218
Morning Consult,1.0,a,2021-12-06,44.0,45000.0,49.0,218
Marist,1.0,rv,2021-12-06,43.0,1062.0,51.0,183
Redfield & Wilton Strategies,0.3,rv,2021-12-05,37.0,1500.0,45.0,562
Léger,0.9,a,2021-12-05,44.0,1004.0,55.0,572
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-05,42.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-12-05,44.0,45000.0,49.0,218
TIPP,1.3,a,2021-12-04,43.0,1301.0,43.0,144
Hart Research Associates/Public Opinion Strategies,1.1,a,2021-12-04,41.0,800.0,50.0,221
Morning Consult,1.0,a,2021-12-04,44.0,45000.0,49.0,218
RMG Research,0.85,rv,2021-12-03,46.0,1200.0,48.0,555
Morning Consult,1.0,a,2021-12-03,44.0,45000.0,49.0,218
Ipsos,1.05,a,2021-12-02,45.83,1005.0,48.65,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-02,42.0,1500.0,57.0,277
Harris Poll,1.05,rv,2021-12-02,45.0,1989.0,51.0,133
Morning Consult,1.0,a,2021-12-02,44.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-12-01,43.0,1500.0,56.0,277
"Cor Services, Inc.",0.6,lv,2021-12-01,42.0,523.0,51.0,688
Morning Consult,1.0,a,2021-12-01,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-11-30,46.0,2200.0,48.0,218
RMG Research,0.85,rv,2021-11-30,43.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-30,43.0,1500.0,56.0,277
Morning Consult,1.0,rv,2021-11-30,45.0,18914.0,52.0,218
YouGov,0.93,rv,2021-11-30,44.0,1272.0,50.0,391
Morning Consult,1.0,a,2021-11-30,44.0,45000.0,49.0,218
Trafalgar Group,1.05,lv,2021-11-29,36.3,1082.0,59.1,338
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-29,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-11-29,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-28,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2021-11-28,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-11-27,46.0,2200.0,49.0,218
Morning Consult,1.0,a,2021-11-27,44.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-11-26,45.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-11-25,45.0,45000.0,48.0,218
Winston,0.9,rv,2021-11-24,42.0,1000.0,47.0,385
Morning Consult,1.0,a,2021-11-24,44.0,45000.0,48.0,218
RMG Research,0.85,rv,2021-11-23,43.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-23,41.0,1500.0,58.0,277
YouGov,0.93,rv,2021-11-23,45.0,1249.0,50.0,391
Morning Consult,1.0,a,2021-11-23,44.0,45000.0,48.0,218
Morning Consult,1.0,rv,2021-11-22,44.0,1999.0,52.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-22,41.0,1500.0,58.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-11-22,43.0,1000.0,54.0,413
Morning Consult,1.0,a,2021-11-22,44.0,45000.0,48.0,218
Fabrizio/Impact,0.6,rv,2021-11-22,41.0,1500.0,57.0,694
Morning Consult,1.0,a,2021-11-21,47.0,2200.0,47.0,218
Léger,0.9,a,2021-11-21,44.0,1001.0,53.0,572
POS,1.0,rv,2021-11-21,47.0,1000.0,53.0,260
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-21,41.0,1500.0,58.0,277
Morning Consult,1.0,a,2021-11-21,47.0,2199.0,48.0,218
Morning Consult,1.0,a,2021-11-21,45.0,45000.0,48.0,218
American Research Group,0.75,rv,2021-11-20,44.0,993.0,50.0,9
Morning Consult,1.0,a,2021-11-20,44.0,45000.0,48.0,218
YouGov,0.93,rv,2021-11-19,44.0,1305.0,53.0,391
Marist,1.0,rv,2021-11-19,43.0,969.0,50.0,183
YouGov,0.93,a,2021-11-19,44.0,2058.0,56.0,391
Morning Consult,1.0,a,2021-11-19,44.0,45000.0,49.0,218
Ipsos,1.05,a,2021-11-18,44.49,1003.0,49.06,154
RMG Research,0.85,rv,2021-11-18,44.0,1200.0,52.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-18,41.0,1500.0,58.0,277
HarrisX,1.05,rv,2021-11-18,44.0,2787.0,45.0,133
Echelon Insights,0.9,lv,2021-11-18,47.0,839.0,51.0,407
Morning Consult,1.0,a,2021-11-18,44.0,45000.0,49.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-17,41.0,1500.0,59.0,277
Beacon Research/Shaw & Company,1.0,rv,2021-11-17,44.0,1003.0,54.0,103
Morning Consult,1.0,a,2021-11-17,44.0,45000.0,49.0,218
RMG Research,0.85,rv,2021-11-16,41.0,1200.0,53.0,555
YouGov,0.93,rv,2021-11-16,43.0,1299.0,51.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-16,41.0,1500.0,58.0,277
McLaughlin,0.4,lv,2021-11-16,42.0,1000.0,56.0,203
Morning Consult,1.0,a,2021-11-16,44.0,45000.0,48.0,218
Gallup,1.05,a,2021-11-16,42.0,815.0,55.0,112
Redfield & Wilton Strategies,0.3,rv,2021-11-15,37.0,1500.0,46.0,562
Morning Consult,1.0,rv,2021-11-15,44.0,1998.0,53.0,218
Morning Consult,1.0,a,2021-11-15,43.0,2200.0,50.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-15,41.0,1500.0,57.0,277
Quinnipiac,1.0,rv,2021-11-15,38.0,1262.0,53.0,267
Morning Consult,1.0,a,2021-11-15,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-11-14,46.0,2200.0,49.0,218
Bullfinch,0.6,rv,2021-11-14,44.0,1000.0,53.0,692
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-14,43.0,1500.0,56.0,277
Morning Consult,1.0,a,2021-11-14,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-11-13,44.0,45000.0,49.0,218
Winston,0.9,rv,2021-11-12,45.0,1000.0,47.0,385
Morning Consult,1.0,a,2021-11-12,44.0,45000.0,48.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-11,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2021-11-11,44.0,45000.0,49.0,218
Ipsos,1.05,a,2021-11-10,45.57,1004.0,48.97,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-10,41.0,1500.0,58.0,277
ABC/Washington Post,1.2,rv,2021-11-10,38.0,882.0,57.0,3
Morning Consult,1.0,a,2021-11-10,44.0,45000.0,49.0,218
Marquette Law School,1.08,a,2021-11-10,49.0,1004.0,51.0,195
RMG Research,0.85,rv,2021-11-09,40.0,1200.0,55.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-09,40.0,1500.0,59.0,277
YouGov,0.93,rv,2021-11-09,45.0,1258.0,49.0,391
Morning Consult,1.0,a,2021-11-09,44.0,45000.0,49.0,218
Susquehanna,0.93,lv,2021-11-09,36.0,800.0,52.0,326
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-08,40.0,1500.0,59.0,277
YouGov,0.93,a,2021-11-08,42.0,1673.0,51.0,391
Monmouth U.,1.0,rv,2021-11-08,43.0,726.0,49.0,215
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-11-08,47.0,1003.0,50.0,413
Morning Consult,1.0,a,2021-11-08,44.0,45000.0,48.0,218
Morning Consult,1.0,a,2021-11-07,46.0,2200.0,49.0,218
Léger,0.9,a,2021-11-07,45.0,1006.0,54.0,572
Morning Consult,1.0,rv,2021-11-07,46.0,1998.0,51.0,218
Morning Consult,1.0,a,2021-11-07,49.0,2197.0,45.0,218
RMG Research,0.85,rv,2021-11-07,44.0,1200.0,50.0,555
Rasmussen (Pulse Opinion Research),0.93,lv,2021-11-07,42.0,1500.0,57.0,277
Morning Consult,1.0,a,2021-11-07,44.0,45000.0,49.0,218
Morning Consult,1.0,a,2021-11-06,44.0,45000.0,49.0,218
Suffolk,1.0,rv,2021-11-05,37.8,1000.0,59.0,323
Morning Consult,1.0,a,2021-11-05,46.0,2200.0,50.0,218
Morning Consult,1.0,a,2021-11-05,44.0,45000.0,48.0,218
Ipsos,1.05,a,2021-11-04,48.13,1005.0,46.52,154
Emerson College Polling Society,1.05,rv,2021-11-04,41.3,1000.0,50.4,88
