pollster,pollster_rating_id,NCPP/AAPOR/Roper,#_polls,total_weight,correct,poll_WAR,house_bias,weighted_average_error,raw_average_error,weighted_reverted_error,percentile,avg_poll_WAR,house_bias_effect,adj_error,raw_p_m,plus_minus,grade,grade_value,fte_grade,fte_plus_minus
20/20 Insight,1,no,8,3.6657,0.625,-1.7867,1.8113,5.7572,10.1538,0.2898,0.285,-0.1787,0,6.547,0.336,0.3,C/D,0.60,B/C,0.773
A&A Research,2,no,1,0.2959,0,-0.6199,0,5.6474,10.04,0.0968,0.411,-0.0620,0,6.2442,0.137,0.1,B/C,0.90,B/C,0.679
ABC News/The Washington Post,3,yes,82,38.4752,0.7378,1.528,0.7757,3.1281,3.0535,-0.884,0.964,0.0186,0,2.2441,-2.497,-2.5,A,1.20,A+,-0.992
APC Research,4,no,2,1.1313,1,0.3793,-1.0735,5.1785,2.535,-0.2227,0.795,0.0379,0,5.4558,-0.382,-0.4,B/C,0.90,B/C,0.455
ASA Marketing Group,5,no,1,0.3439,1,0.3106,0,5.5144,5.54,-0.0104,0.576,0.0311,0,6.004,-0.021,0.0,B/C,0.90,B/C,0.609
Abacus Associates,6,no,2,0.7644,0.5,-0.4059,0,5.7359,8.06,0.1103,0.401,-0.0406,0,6.3462,0.204,0.2,C/D,0.60,B/C,0.748
Abt Associates,7,yes,10,4.9755,0.9,1.2454,0.2938,4.7885,3.862,0.0015,0.551,0.1245,0,4.79,-0.821,-0.8,B/C,0.90,A/B,-0.223
Alabama State University,8,no,4,0.6344,0.5,-1.2012,0,5.5695,6.385,-0.2269,0.801,-0.1201,0,5.8426,-0.127,-0.1,B/C,0.90,B/C,0.355
American Research Group,9,yes,277,67.8502,0.7509,-24.6217,-0.4658,6.5496,7.5311,0.4563,0.204,-0.0889,0,7.0059,0.639,0.6,C,0.75,C+,0.724
American Viewpoint,10,no,8,3.4129,0.6875,0.2639,-1.7817,5.0167,4.1625,-0.2651,0.832,0.0264,0,5.2516,-0.517,-0.5,B/C,0.90,B/C,0.005
Analytical Group,11,no,1,0.2959,1,0.4405,-1.14,5.4699,4.04,-0.0504,0.622,0.0441,0,5.9195,-0.077,-0.1,B/C,0.90,B/C,0.618
Angus Reid Global,13,no,31,17.087,0.9355,3.5365,0.7263,3.0747,3.1887,-1.0986,0.98,0.1141,0,2.4761,-2.345,-2.3,A,1.20,B+,-0.189
ALG Research,14,no,20,9.6765,0.575,-3.8809,1.039,6.1861,6.311,0.9775,0.068,-0.1940,0.00975,7.67335,1.078,1.1,C/D,0.60,B/C,0.643
Arizona State University,15,no,8,2.5076,1,1.1962,4.3673,6.0385,8.2288,0.4423,0.208,0.1196,0,6.9808,0.622,0.6,C/D,0.60,B/C,0.866
Arthur J. Finkelstein & Associates,16,no,1,0.2785,0,-0.9247,0,5.7406,13.67,0.159,0.36,-0.0925,0,6.3996,0.239,0.2,C/D,0.60,B/C,0.731
Aspen Media & Market Research,17,no,3,1.0962,1,0.4671,0,5.736,7.4567,0.1749,0.348,0.0467,0,6.4109,0.247,0.2,C/D,0.60,B/C,0.595
BIGresearch,19,no,1,0.3124,1,0.0169,-6.92,5.4003,1.89,-0.1212,0.704,0.0017,0,5.7791,-0.169,-0.2,B/C,0.90,B/C,0.611
BK Strategies,20,no,3,1.9968,0.6667,-0.4251,-2.7225,5.1687,3.8067,-0.5318,0.933,-0.0425,0,5.1369,-0.592,-0.6,B/C,0.90,B/C,0.327
Bannon Communications Research,21,no,2,0.606,1,0.0153,3.6621,5.8049,10.37,0.2353,0.299,0.0015,0,6.5402,0.332,0.3,C/D,0.60,B/C,0.736
Baruch College,22,yes,2,0.4356,1,0.0248,0,5.5123,5.485,0.0434,0.488,0.0025,0,5.5557,-0.316,-0.3,B/C,0.90,A/B,-0.094
Baselice & Associates,23,no,2,0.5909,1,0.0283,4.2718,5.7908,10.03,0.2574,0.297,0.0028,0,6.5482,0.337,0.3,C/D,0.60,B/C,0.733
Basswood Research,24,no,4,1.2402,0.75,-0.1525,0,5.8376,8.0425,0.0429,0.49,-0.0153,0,6.3805,0.227,0.2,C/D,0.60,B/C,0.434
Baydoun Consulting,25,no,6,2.5012,0.8333,0.0706,-3.9322,6.1773,6.8433,0.7656,0.1,0.0071,0,7.4429,0.926,0.9,C/D,0.60,B/C,0.781
Becker Institute,26,no,5,1.4003,0.8,-0.703,0.1407,5.8012,7.658,0.0989,0.409,-0.0703,0,6.4001,0.240,0.2,C/D,0.60,B/C,0.663
Behavior Research Center (Rocky Mountain Poll),27,yes,7,1.9404,1,1.4818,2.0545,5.4849,5.29,0.0115,0.537,0.1482,0,5.4964,-0.355,-0.4,B/C,0.90,A/B,-0.058
Belden Russonello,28,no,3,1.0466,1,0.3956,3.051,5.3635,4.1367,0.0595,0.458,0.0396,0,5.923,-0.075,-0.1,B/C,0.90,B/C,0.585
Bendixen & Amandi International,29,no,2,1.3796,1,0.7205,3.2147,5.1789,3.005,0.0304,0.505,0.0721,0,5.7093,-0.215,-0.2,B/C,0.90,B/C,0.532
Benenson Strategy Group,30,no,11,4.4373,0.6818,-0.2861,1.4864,5.9105,6.6155,0.4717,0.192,-0.0260,0.1216,7.0038,0.637,0.6,C/D,0.60,B/C,0.605
Big Ten,31,no,10,4.7084,1,1.75,4.8078,5.1215,4.694,0.6333,0.147,0.1750,0,6.2548,0.144,0.1,B/C,0.90,B/C,0.610
Blum & Weprin Associates,32,yes,19,5.1171,0.9474,-0.1993,0.4128,5.0236,4.7411,-1.1134,0.982,-0.0105,0,3.9102,-1.400,-1.4,A/B,1.08,A/B,-0.537
Braun Research,33,no,6,3.3603,1,0.303,0.0873,5.6658,6.5783,0.0448,0.486,0.0303,0,6.2106,0.115,0.1,B/C,0.90,B/C,0.522
Brigham Young University,34,yes,4,2.0688,0.75,-0.7572,0,7.7737,16.44,1.4109,0.043,-0.0757,0,9.1846,2.073,2.1,D/D,0.30,B/C,1.233
Brown University,35,yes,12,3.3419,0.8333,-1.119,0.5844,7.1438,11.43,1.0393,0.061,-0.0933,0,8.1831,1.414,1.4,D/D,0.30,C/D,1.512
CBS News/The New York Times,36,yes,62,20.9196,0.7742,0.3885,1.5803,3.8298,4.4768,-0.1552,0.736,0.0063,0.145075,3.819675,-1.460,-1.5,B+,1.05,A-,-0.399
CNN/Opinion Research Corp.,37,yes,103,42.0273,0.7379,-6.0679,0.1195,4.6445,5.5553,0.1,0.405,-0.0589,0,4.7445,-0.851,-0.9,B,1.00,B,0.052
CPEC,38,no,2,0.4356,1,0.1438,0,5.9704,16,0.3703,0.24,0.0144,0,6.8407,0.530,0.5,C/D,0.60,C/D,1.355
CSP Polling,39,no,1,0.6211,1,0.3056,-2.3,5.3307,2.57,-0.1428,0.72,0.0306,0,5.6879,-0.229,10.0,F,0.00,F,0.535
CVOTER,40,no,6,3.9234,1,2.0109,-0.4823,4.0401,1.8667,-0.5447,0.937,0.2011,0,3.9954,-1.344,-1.3,A/B,1.08,B/C,0.207
"California State University, Bakersfield",41,no,1,0.2486,0,-0.8165,0,5.6214,9.85,0.0915,0.415,-0.0817,0,6.2129,0.116,0.1,B/C,0.90,B/C,0.710
CallFire,42,no,4,2.3268,0.75,-0.0689,-0.4525,5.1456,3.9325,0.0466,0.484,-0.0069,0,5.6922,-0.227,-0.2,B/C,0.90,B/C,0.659
Canisius College,43,no,1,0.1163,1,0,0,5.45,0.05,-0.0525,0.624,0.0000,0,5.8975,-0.091,-0.1,B/C,0.90,B/C,0.608
Capital Survey Research Center,44,no,13,2.8496,0.3462,-6.3009,0,5.9928,9.6715,0.0855,0.429,-0.4847,0,6.5783,0.357,0.4,C/D,0.60,B/C,0.691
Castleton University,45,yes,3,0.6101,1,0.4071,0,5.8025,9.9567,0.0471,0.48,0.0407,0,5.8496,-0.123,-0.1,B/C,0.90,A/B,-0.156
Central Surveys Inc.,46,no,1,0.3876,0,-0.5421,2.14,5.3645,1.67,-0.0351,0.606,-0.0542,0,5.8294,-0.136,-0.1,B/C,0.90,B/C,0.608
Centre College,47,no,1,0.7261,1,0.377,2.3,5.3927,3.85,0.0716,0.446,0.0377,0,5.9643,-0.047,0.0,B/C,0.90,B/C,0.629
Change Research,48,yes,109,83.4567,0.7477,-4.5812,-0.1978,5.9584,6.3617,0.4602,0.2,-0.0420,0,6.4186,0.252,0.3,C+,0.85,B-,0.543
Cherry Communications,49,no,5,2.6845,0.5,-1.1071,-2.4708,5.755,7.576,0.5705,0.159,-0.1107,0,6.8255,0.520,0.5,C/D,0.60,B/C,0.780
Christopher Newport University,50,yes,13,8.6947,1,2.6339,1.0776,4.4563,5.4231,-0.8345,0.962,0.2026,0.0194,3.6412,-1.577,-1.6,A/B,1.08,A/B,-0.416
Ciruli Associates,51,yes,20,6.8115,0.95,2.3026,-0.9277,4.2656,3.7745,-0.1805,0.757,0.1151,0,4.0851,-1.285,-1.3,A/B,1.08,A/B,-0.304
Clarity Campaign Labs,52,no,12,7.511,0.5417,-2.1961,0.5082,4.0761,3.51,-0.7625,0.956,-0.1830,0,3.8136,-1.464,-1.5,A/B,1.08,B/C,0.103
Clarus Research Group,53,no,3,1.368,1,0.0211,1.864,5.6743,6.7733,0.2849,0.287,0.0021,0,6.4592,0.279,0.3,C/D,0.60,B/C,0.608
Clemson University,54,no,8,1.9048,1,0.6284,0,6.539,10.0562,-0.3157,0.858,0.0628,0,6.7233,0.453,0.5,C/D,0.60,A/B,-0.033
Clout Research/Wenzel Strategies,55,no,16,8.2496,0.5625,-3.5775,-2.97,6.1233,6.7538,1.3589,0.047,-0.2236,0.4925,8.4747,1.606,1.6,D/D,0.30,B/C,0.785
Cole Hargrave Snodgrass & Associates,56,no,5,1.5328,0.6,-1.4993,-0.1152,5.8198,8.114,0.0515,0.476,-0.1499,0,6.3713,0.221,0.2,C/D,0.60,B/C,0.885
Columbus Dispatch,57,yes,22,7.8751,0.9318,1.0388,2.0469,4.5781,5.3982,-0.0328,0.6,0.0472,0.261725,4.807025,-0.809,-0.8,B/C,0.90,A/B,-0.148
Constituent Dynamics,58,no,7,0.9989,0.8571,-0.274,0,5.9073,9.4571,0.1822,0.342,-0.0274,0,6.5895,0.364,0.4,C/D,0.60,B/C,0.711
Consumer Logic,59,no,2,0.5975,0.5,-0.8673,5.2846,5.8774,10.21,0.2689,0.293,-0.0867,0,6.6463,0.402,0.4,C/D,0.60,B/C,0.772
Cooper & Secrest,60,no,1,0.2785,0,-0.5983,0,5.4335,2.64,-0.056,0.633,-0.0598,0,5.8775,-0.105,-0.1,B/C,0.90,B/C,0.615
Craciun Research Group,61,no,1,0.7261,0,-0.9633,9,6.4732,18.73,0.5876,0.157,-0.0963,0,7.5608,1.004,1.0,C/D,0.60,B/C,1.095
Crantford Research,62,no,1,0.4468,1,0.2677,0,5.3771,2.46,-0.0693,0.651,0.0268,0,5.8078,-0.150,-0.2,B/C,0.90,B/C,0.580
CJ&N,63,no,3,0.7322,1,0.4,0,5.3978,4.42,-0.0864,0.679,0.0400,0,5.8114,-0.148,-0.1,B/C,0.90,B/C,0.450
Critical Insights,64,no,19,8.5859,0.8947,-0.9362,0.8867,7.6611,8.0853,1.7309,0.031,-0.0493,0,9.892,2.539,2.5,D/D,0.30,B/C,1.128
Cromer Group,65,no,1,0.3654,1,0.1769,-3.14,5.4557,3.93,0.0381,0.494,0.0177,0,5.9938,-0.028,0.0,B/C,0.90,B/C,0.630
CrossTarget,66,no,2,0.9462,1,0.5116,-11.59,5.7242,7.74,0.026,0.519,0.0512,0,6.2502,0.141,0.1,B/C,0.90,B/C,0.676
Cygnal,67,no,20,15.63,0.95,1.9113,-1.565,4.4968,4.3795,-1.5267,0.994,0.0956,0.14125,3.61135,-1.597,-1.6,B+,1.05,B+,-0.178
DCCC Targeting and Analytics Department,68,no,5,3.7809,0.4,-2.4971,0,7.2138,9.706,0.945,0.074,-0.2497,0,8.6588,1.727,1.7,D/D,0.30,B/C,0.985
DFM Research,69,no,10,5.7228,0.75,-1.0685,0.5663,6.0788,6.439,0.4623,0.198,-0.1069,0,7.0411,0.662,0.7,C/D,0.60,B/C,0.346
Dan Jones & Associates,70,no,42,16.5171,0.9524,0.308,0.0171,5.4529,6.0095,-0.2771,0.842,0.0073,0,5.6758,-0.237,-0.2,B-,0.93,B,0.266
Dane & Associates,71,no,2,0.761,0.5,-0.9444,0,6.7148,21.3,0.8257,0.09,-0.0944,0,8.0405,1.320,1.3,D/D,0.30,B/C,1.292
Dartmouth College,72,no,3,0.2796,1,0.5718,0,5.6194,9.2967,0.027,0.517,0.0572,0,6.1464,0.073,0.1,B/C,0.90,B/C,0.634
Data Orbital,73,yes,13,10.1487,0.9615,3.2558,-0.806,2.4284,2.3969,-0.9895,0.97,0.2504,0,1.4389,-3.028,-3.0,A+,1.30,A/B,-0.560
Data West Polling,74,no,2,0.557,0.5,-0.8452,0,5.9357,13.095,0.2956,0.281,-0.0845,0,6.7313,0.458,0.5,C/D,0.60,B/C,0.831
Datamar Analytics,75,no,8,2.6072,0.6875,-1.1766,-2.1569,5.3163,6.2925,0.3509,0.255,-0.1177,0,6.1672,0.086,0.1,B/C,0.90,B/C,0.796
DHM Research,76,no,14,5.7557,0.8571,0.7994,0.5657,4.4599,4.3779,-0.4855,0.919,0.0571,0,4.4744,-1.029,-1.0,B/C,0.90,B/C,0.564
Decision Forecasting,77,no,3,0.8391,1,0.4723,-0.2147,5.6994,8.0933,0.0681,0.448,0.0472,0,6.2675,0.152,0.2,B/C,0.90,B/C,0.702
Diamond State Consulting Group,78,no,1,0.5172,1,0.0833,0,5.4238,3.78,-0.1056,0.69,0.0083,0,5.8182,-0.144,-0.1,B/C,0.90,B/C,0.554
Dittman Research,79,no,6,2.5731,1,0.6238,-0.6439,5.5339,5.37,-0.2331,0.805,0.0624,0,5.8008,-0.155,-0.2,B/C,0.90,B/C,0.519
Diversified Research Inc,80,no,1,0.2486,1,0.2104,0,5.5005,4.99,0.0069,0.539,0.0210,0,6.0074,-0.019,0.0,B/C,0.90,B/C,0.621
Dixie Strategies,81,no,11,6.2096,0.9545,1.6496,-2.7406,5.9604,6.5736,0.6929,0.133,0.1500,0.43515,7.58845,1.022,1.0,C/D,0.60,B/C,0.530
Douglas Fulmer & Associates,82,no,2,0.4356,1,0.8,0,5.4932,5.045,-0.1284,0.708,0.0800,0,5.8648,-0.113,-0.1,B/C,0.90,B/C,0.425
Dynamics Marketing,83,no,1,0.2486,1,0.0109,0,5.4515,3.02,-0.0274,0.598,0.0011,0,5.9241,-0.074,-0.1,B/C,0.90,B/C,0.621
EPIC-MRA,84,no,54,23.7868,0.7963,-1.1895,-0.2277,4.832,5.4683,-0.5173,0.923,-0.0220,0,4.8147,-0.804,-0.8,B,1.00,B,0.011
Ed Renwick/Loyola University New Orleans,85,no,10,3.6189,0.8,-1.2331,2.9825,6.4205,7.855,0.2753,0.289,-0.1233,0,7.1958,0.764,0.8,C/D,0.60,B/C,0.811
Elon University,86,yes,8,4.5583,0.5625,-1.0075,0.4686,4.4321,3.1538,-0.3095,0.852,-0.1008,0,4.1226,-1.260,-1.3,A/B,1.08,A/B,-0.290
Elway Research,87,no,21,9.1082,0.9048,1.2164,1.7036,3.7077,3.9205,-0.4385,0.909,0.0579,0.1759,3.9451,-1.377,-1.4,A/B,1.08,A/B,-0.288
Emerson College,88,yes,201,130.3231,0.7637,-5.8709,-0.6127,4.6788,5.1924,-0.5367,0.935,-0.0292,0,4.1421,-1.247,-1.2,B+,1.05,A-,-0.392
Ethridge & Associates LLC,89,no,6,1.8549,0.8333,0.1128,-1.2402,4.9806,2.6633,-0.1305,0.712,0.0113,0,5.3501,-0.452,-0.5,B/C,0.90,B/C,0.531
"Fabrizio, Lee & Associates",90,no,4,2.3317,0.5,-0.8209,0.3773,5.3716,4.5725,-0.2203,0.789,-0.0821,0,5.6513,-0.253,-0.3,B/C,0.90,B/C,0.464
FM3 Research,91,no,10,3.6135,0.65,-1.4925,5.4686,7.5728,9.127,1.7323,0.029,-0.1493,0,9.8051,2.482,2.5,D/D,0.30,C/D,1.729
Fairleigh Dickinson University (PublicMind),92,yes,20,7.8595,0.95,0.6213,1.7526,4.5917,4.441,-0.2156,0.785,0.0311,0.18815,4.56425,-0.969,-1.0,B/C,0.90,A/B,-0.328
Feldman Group,93,no,2,0.8336,0.5,-0.6646,1.5951,5.5223,6.675,-0.0151,0.582,-0.0665,0,6.0072,-0.019,0.0,B/C,0.90,B/C,0.687
Field Research Corp. (Field Poll),94,yes,25,7.7628,1,1.7156,0.5047,4.1573,4.1048,-1.0269,0.972,0.0686,0,3.1304,-1.914,-1.9,A/B,1.08,A/B,-0.907
Financial Dynamics,95,no,15,6.3366,1,2.0222,-1.3163,3.7254,2.942,-0.0047,0.568,0.1348,0.079075,4.299775,-1.144,-1.1,B/C,0.90,B/C,0.455
Fleming & Associates,96,no,18,7.2478,1,2.2036,-0.4275,5.2114,5.1333,-0.3386,0.87,0.1224,0,5.3728,-0.437,-0.4,B/C,0.90,A/B,-0.076
Florida Atlantic University,97,no,9,4.8885,0.6667,-1.1243,0.1814,4.722,3.6367,-0.3338,0.864,-0.1124,0,4.8882,-0.756,-0.8,B/C,0.90,A/B,-0.216
Florida International University/Univision,98,no,1,0.3805,1,0.0269,0,5.3722,1.8,-0.1065,0.692,0.0027,0,5.7657,-0.178,-0.2,B/C,0.90,B/C,0.591
The Florida Poll,99,no,5,1.7589,0.6,-0.5822,0.1748,5.3584,4.614,0.1319,0.383,-0.0582,0,5.9903,-0.030,0.0,B/C,0.90,B/C,0.677
Forman Center,100,no,2,0.4682,1,0.0944,1.875,5.7707,11.005,0.1842,0.34,0.0094,0,6.4549,0.276,0.3,C/D,0.60,B/C,0.740
Fort Hays State University,101,no,6,2.2508,0.6667,-1.0296,0,8.8179,22.1,2.1107,0.013,-0.1030,0,11.4286,3.551,3.6,D/D,0.30,C/D,2.926
Forward Strategies,102,no,2,0.9199,1,0.4713,3.1846,5.1252,1.305,-0.1645,0.746,0.0471,0,5.4607,-0.379,-0.4,B/C,0.90,B/C,0.533
Fox News/Beacon Research/Shaw & Co. Research,103,yes,46,25.7791,0.75,-1.8633,0.4151,5.1442,5.5626,-0.2915,0.848,-0.0405,0,4.8527,-0.779,-0.8,B,1.00,A,-0.653
Fox News/Opinion Dynamics Corp.,104,yes,34,10.9585,0.7206,-0.3743,-1.1257,3.7786,3.895,0.1011,0.403,-0.0110,0.031425,3.911125,-1.399,-1.4,B+,1.05,A/B,-0.239
Frank N. Magid Associates Inc.,105,no,5,1.5317,0.8,-0.7639,-0.0196,5.6459,6.322,-0.0052,0.57,-0.0764,0,6.1407,0.069,0.1,B/C,0.90,B/C,0.610
Franklin & Marshall College,106,yes,23,11.2437,0.8696,1.2844,1.1859,5.6616,6.1148,1.1776,0.053,0.0558,0.046475,6.885675,0.559,0.6,C,0.75,B/C,0.428
Franklin Pierce University,107,no,17,4.3623,0.8529,0.6996,3.8443,5.9697,6.7282,0.3834,0.234,0.0412,0.711075,7.564175,1.006,1.0,C/D,0.60,B/C,0.573
Frederick Polls,108,no,7,5.6621,0.5,-1.1305,-0.1553,4.5352,3.6529,-0.5187,0.929,-0.1131,0,4.5165,-1.001,-1.0,B/C,0.90,B/C,0.370
GBAO,109,no,12,8.8662,0.7917,0.0751,1.7607,5.6704,5.4533,0.6596,0.141,0.0063,0.190175,7.020175,0.648,0.6,C/D,0.60,B/C,0.220
GCR & Associates,110,no,1,0.1745,1,0,0,5.7366,18.3,0.1361,0.379,0.0000,0,6.3727,0.222,0.2,C/D,0.60,B/C,0.865
GaPundit.com,111,no,2,1.1313,0.25,-1.1857,2.8614,5.8249,8.255,0.3215,0.267,-0.1186,0,6.6464,0.402,0.4,C/D,0.60,B/C,0.732
Gallup,112,yes,84,27.188,0.6905,-2.4531,-1.1298,3.9396,4.2664,0.231,0.305,-0.0292,0.03245,4.20305,-1.207,-1.2,B+,1.05,B+,-0.215
Garin-Hart-Yang Research Group,113,no,29,13.3308,0.8103,0.273,2.9674,6.023,5.901,0.6952,0.129,0.0094,0.49185,7.71005,1.102,1.1,C-,0.65,B-,0.330
Georgetown University (Battleground),114,yes,35,13.3876,0.5571,-3.6341,-1.3764,3.3095,3.3554,0.1612,0.354,-0.1038,0.0941,3.5648,-1.628,-1.6,A-,1.10,A/B,-0.058
GfK Group,115,yes,21,10.0079,0.9286,2.7432,1.3901,3.9837,3.8105,0.4653,0.196,0.1306,0.097525,4.546525,-0.981,-1.0,B,1.00,A/B,-0.088
Glascock Group,116,no,2,1.0344,0.5,-0.7557,0,6.5009,15.06,0.6056,0.149,-0.0756,0,7.6065,1.034,1.0,C/D,0.60,B/C,1.223
Glengariff Group,117,yes,11,6.6964,0.8182,-0.028,1.4698,5.4437,5.2991,0.5167,0.175,-0.0025,0.11745,6.07785,0.027,0.0,B/C,0.90,B/C,0.222
Global Strategy Group,118,no,25,10.4871,0.68,-2.8985,1.6448,6.6731,6.4188,0.7382,0.108,-0.1159,0.1612,8.0725,1.341,1.3,C-,0.65,B/C,0.892
Global Strategy Group/National Research (Philadelphia Inquirer),119,yes,4,2.2104,1,0.3717,0.7858,4.9673,2.98,-0.1627,0.744,0.0372,0,4.8046,-0.811,-0.8,B/C,0.90,A/B,-0.024
Glover Park Group,120,no,1,0.4653,0,-0.6365,-5.8,5.7856,11.36,0.2208,0.311,-0.0637,0,6.5064,0.310,0.3,C/D,0.60,B/C,0.780
Gonzales Research & Marketing Strategies Inc.,121,no,10,4.006,0.8,-0.9362,0.2335,6.0383,6.543,0.5057,0.179,-0.0936,0,7.044,0.664,0.7,C/D,0.60,B/C,0.868
Google Surveys,122,yes,24,15.258,0.875,2.7651,0.011,5.6662,5.3967,0.8111,0.094,0.1152,0,6.4773,0.290,0.3,C+,0.85,B-,0.591
Gordon S. Black Corp.,123,yes,2,0.482,1,0.2904,-1.1544,5.5592,6.355,-0.0406,0.612,0.0290,0,5.5186,-0.341,-0.3,B/C,0.90,A/B,-0.042
Gravis Marketing,124,no,153,95.4875,0.7059,-8.9512,0.053,4.8115,5.2263,-0.0416,0.614,-0.0585,0,5.2699,-0.505,-0.5,B,1.00,B,0.129
