pollster,pollster_rating_id,NCPP/AAPOR/Roper,#_polls,total_weight,correct,poll_WAR,house_bias,weighted_average_error,raw_average_error,weighted_reverted_error,percentile,avg_poll_WAR,house_bias_effect,adj_error,raw_p_m,plus_minus,grade,grade_value,fte_grade,fte_plus_minus
War Room Logistics,374,no,1,0.1745,1,0.0393,0,5.4953,4.47,-0.0557,0.631,0.0039,0,5.9396,-0.064,-0.1,B/C,0.90,B/C,0.568
Ward Research/The Honolulu Star-Advertiser,375,no,15,6.135,0.8,-1.2167,0.0896,5.6243,5.8487,-0.2214,0.793,-0.0811,0,5.9029,-0.088,-0.1,B/C,0.90,B/C,0.151
We Ask America,376,no,56,22.4134,0.8125,-0.0937,-0.0359,5.674,6.7327,0.0276,0.513,-0.0017,0,6.2016,0.109,0.1,C+,0.85,B-,0.487
West Chester University,377,no,7,2.4088,1,0.9761,2.1598,5.426,5.1929,0.0341,0.5,0.0976,0,5.9601,-0.050,-0.1,B/C,0.90,B/C,0.638
West Virginia Research Center,378,no,2,0.5594,0.5,-0.447,1.7612,5.5524,6.445,0.0914,0.417,-0.0447,0,6.1438,0.071,0.1,B/C,0.90,B/C,0.658
Western Kentucky University,379,no,4,2.1786,0.75,-0.5558,-1.2352,6.4766,10.91,-0.0218,0.592,-0.0556,0,6.9548,0.605,0.6,C/D,0.60,B/C,0.975
Western New England University,380,yes,11,6.0236,1,1.0784,0.3626,4.4803,4.2455,-0.5189,0.931,0.0980,0,3.9614,-1.366,-1.4,A/B,1.08,A/B,-0.111
Wick Communications,381,no,1,0.3439,1,0.0678,0,5.4216,2.84,-0.0754,0.657,0.0068,0,5.8462,-0.125,-0.1,B/C,0.90,B/C,0.645
Wiese Research Associates,382,no,7,3.5033,1,0.6079,1.3139,6.0954,7.3243,0.5569,0.161,0.0608,0,7.1523,0.735,0.7,C/D,0.60,B/C,0.505
WPA Intelligence (WPAi),383,no,17,7.6044,0.6765,-2.7557,-1.2332,7.3377,7.4924,1.6924,0.033,-0.1621,0.0583,9.5884,2.339,2.3,D/D,0.30,B/C,0.814
The Winston Group,385,yes,10,4.9608,0.5,-2.7998,0.487,4.5524,4.175,-0.3294,0.862,-0.2800,0,4.223,-1.194,-1.2,B/C,0.90,A/B,-0.363
Winthrop University,386,yes,2,1.0261,1,0.2346,-0.7855,5.6772,12.03,-0.0215,0.59,0.0235,0,5.6557,-0.251,-0.3,B/C,0.90,B/C,0.171
Wirthlin Worldwide,387,yes,4,0.9717,0.75,0.3864,-1.8175,5.4236,4.595,-0.0551,0.629,0.0386,0,5.3685,-0.440,-0.4,B/C,0.90,A/B,-0.096
Y2 Analytics,389,no,8,5.9646,1,0.8548,-1.1273,5.9956,8.045,-0.243,0.816,0.0855,0,6.2526,0.143,0.1,B/C,0.90,B/C,0.774
Yankelovich Partners Inc.,390,yes,7,1.1525,0.5,-1.9042,-1.2446,5.6945,10.1757,0.1366,0.377,-0.1904,0,5.8311,-0.135,-0.1,B/C,0.90,B/C,0.176
YouGov,391,no,455,237.2972,0.8868,18.7743,0.3595,4.8249,5.0391,0.0151,0.531,0.0413,0,5.34,-0.458,-0.5,B-,0.93,B+,-0.274
Zata3,392,no,2,0.841,1,0.0824,0,5.9056,10.175,0.2056,0.322,0.0082,0,6.6112,0.379,0.4,C/D,0.60,B/C,0.731
Zia Poll,393,no,4,3.1783,0.75,-0.2206,-4.9423,5.5015,5.3525,0.4379,0.212,-0.0221,0,6.4394,0.266,0.3,C/D,0.60,B/C,0.779
Zimmerman & Associates/Marketing Intelligence,394,no,3,1.2064,1,0.3138,1.658,5.4394,4.6733,0.0675,0.45,0.0314,0,6.0069,-0.019,0.0,B/C,0.90,B/C,0.650
Zogby Interactive/JZ Analytics,395,no,477,150.4016,0.7725,-8.5735,0.1891,5.1951,5.5425,0.6991,0.124,-0.0180,0,6.3942,0.236,0.2,C+,0.85,B-,0.491
ccAdvertising,396,no,33,14.502,0.8485,1.0725,-1.0407,7.3485,7.3639,0.8381,0.086,0.0325,0.010175,8.696775,1.752,1.8,C-,0.65,C+,0.865
Baldwin Wallace University,401,no,2,1.4733,0.5,-0.5166,3.0714,5.9424,8.3,0.426,0.218,-0.0517,0,6.8684,0.548,0.5,C/D,0.60,B/C,0.820
Data Targeting,406,no,1,0.8,1,0.0864,0,5.3924,4,-0.1483,0.724,0.0086,0,5.7441,-0.192,-0.2,B/C,0.90,B/C,0.499
Echelon Insights,407,no,2,1.8,1,0.5967,-2.6467,4.8005,1.49,-0.5182,0.925,0.0597,0,4.7823,-0.826,-0.8,B/C,0.90,B/C,0.354
Global Strategy Group/GBAO (Navigator Research),413,no,2,1.8,1,0.5967,1.0756,5.4705,5.24,0.1518,0.364,0.0597,0,6.1223,0.057,0.1,B/C,0.90,B/C,0.714
Hickman Analytics,415,no,1,0.85,0,-0.7568,0,5.8175,9.09,0,0.557,-0.0757,0,6.3175,0.185,0.2,B/C,0.90,B/C,0.859
HighGround Inc.,416,no,2,1.4733,0.5,-0.5929,-2.776,5.3516,4.44,0.1166,0.393,-0.0593,0,5.9682,-0.045,0.0,B/C,0.90,B/C,0.743
Mercyhurst University,422,no,1,0.5172,1,0,0,5.2666,0.74,-0.2156,0.785,0.0000,0,5.551,-0.320,-0.3,B/C,0.90,B/C,0.554
Meredith College,423,no,4,3.05,0.25,-1.914,3.6316,6.7842,11.6325,1.1116,0.057,-0.1914,0,8.3958,1.554,1.6,D/D,0.30,B/C,1.183
Ogden & Fry,425,no,3,1.399,1,0.5806,-3.425,5.0029,2.5367,-0.4202,0.905,0.0581,0,5.0827,-0.628,-0.6,B/C,0.90,B/C,0.300
Public Religion Research Institute,428,yes,1,0.6735,1,0.1078,1.63,5.2001,0.86,-0.19,0.767,0.0108,0,5.0101,-0.676,-0.7,B/C,0.90,A/B,-0.129
Victory Research,437,no,11,6.7491,0.9091,0.0091,-0.1906,5.7407,6.0082,0.2944,0.283,0.0008,0,6.5351,0.329,0.3,C/D,0.60,B/C,0.161
Blumenthal Research Daily,447,no,2,1.347,1,0.7359,-2.67,5.1036,2.47,-0.14,0.716,0.0736,0,5.4636,-0.377,10.0,F,0.00,F,0.526
Siena College/The New York Times Upshot,448,yes,83,62.5042,0.7289,1.7876,0.0971,4.4905,4.3527,-0.4427,0.911,0.0215,0,4.0478,-1.309,-1.3,B+,1.05,A+,-0.954
Research Co.,449,no,35,29.0907,0.9143,2.936,0.44,4.5601,4.5134,-0.1568,0.738,0.0839,0,4.9033,-0.746,-0.7,B,1.00,B-,0.477
Carroll Strategies,450,no,5,3.4938,0.8,-0.5708,-1.3692,7.0447,9.882,1.1711,0.055,-0.0571,0,8.7158,1.765,1.8,D/D,0.30,C/D,1.310
Slingshot Strategies,451,no,1,0.7156,1,0.1588,0,5.7838,9.29,0.2282,0.307,0.0159,0,6.512,0.313,0.3,C/D,0.60,B/C,0.819
TP Research,452,no,2,1.347,0,-1.648,0,6.8655,15.55,1.0054,0.066,-0.1648,0,8.3709,1.538,1.5,D/D,0.30,C/D,1.371
Sacred Heart University,453,no,2,1.7156,0.5,-0.6751,0,5.4578,5.24,0.0469,0.482,-0.0675,0,6.0047,-0.021,0.0,B/C,0.90,B/C,0.590
Targoz Market Research,454,no,15,13.0966,0.8667,2.8271,1.754,6.6085,6.5827,1.2885,0.049,0.1885,0.1885,8.5855,1.679,1.7,C-,0.65,B/C,1.133
Keating Research/OnSight Public Affairs/Melanson,455,no,3,2.6156,1,0.2625,-0.4408,4.5601,1.9333,-0.19,0.767,0.0263,0,4.8701,-0.768,-0.8,B/C,0.90,B/C,0.425
East Tennessee State University,456,no,2,1.4733,0.75,-0.41,3.4783,6.1635,9.9,0.4872,0.185,-0.0410,0,7.1507,0.734,0.7,C/D,0.60,B/C,0.904
"University of California, Berkeley",457,yes,4,2.7733,1,0.2917,2.6282,5.6643,7.71,0.0802,0.437,0.0292,0,5.7445,-0.192,-0.2,B/C,0.90,B/C,0.315
University of Texas at Tyler,458,no,5,3.6733,0.6,-1.0003,0.2531,5.5222,6.618,0.1862,0.338,-0.1000,0,6.2084,0.113,0.1,B/C,0.90,B/C,0.615
Pacific Market Research,459,no,2,1.4733,1,0.04,-0.764,5.8162,7.48,0.1128,0.399,0.0040,0,6.429,0.259,0.3,C/D,0.60,B/C,0.654
Thirty-Ninth Street Strategies,460,no,1,0.6735,0,-0.5636,0,5.2789,2.03,-0.1347,0.714,-0.0564,0,5.6442,-0.258,-0.3,B/C,0.90,B/C,0.597
1892 Polling,461,no,1,0.7156,1,0.4751,-4.09,5.1626,0.61,-0.2463,0.82,0.0475,0,5.4163,-0.408,-0.4,B/C,0.90,B/C,0.520
Strategic Research Associates,462,no,5,3.6622,0.8,0.3739,-1.2976,5.363,5.042,0.213,0.316,0.0374,0,6.076,0.026,0.0,B/C,0.90,B/C,0.604
Michigan State University,463,yes,2,1.4733,1,0.308,-1.4331,4.8507,1.03,-0.3793,0.883,0.0308,0,4.4714,-1.030,-1.0,B/C,0.90,A/B,-0.228
Mason Strategies,464,no,1,0.7577,1,0.2145,-3.6,5.239,1.89,-0.2728,0.84,0.0215,0,5.4662,-0.375,-0.4,B/C,0.90,B/C,0.520
Civiqs,471,no,25,21.95,0.76,0.4389,1.3393,5.5078,5.4828,0.8139,0.092,0.0176,0.084825,6.906525,0.573,0.6,C,0.75,B-,0.327
DeSales University,474,no,1,0.8,1,0.2985,0,6.214,14.27,0.4268,0.216,0.0299,0,7.1408,0.727,0.7,C/D,0.60,B/C,1.073
GS Strategy Group,478,no,2,1.3235,1,0.4407,-2.1597,5.3561,5.115,-0.061,0.637,0.0441,0,5.7951,-0.159,-0.2,B/C,0.90,B/C,0.399
Latino Decisions,482,no,2,1.3,1,0.4603,-1.8462,5.3118,3.485,-0.318,0.86,0.0460,0,5.4938,-0.357,-0.4,B/C,0.90,B/C,0.381
Patinkin Research Strategies,490,no,2,1.9,1,0.8442,2.5284,5.5535,5.67,0.3565,0.25,0.0844,0,6.41,0.246,0.2,C/D,0.60,B/C,0.817
Saint Anselm College,494,no,5,4.35,1,0.5409,-0.6437,4.2052,2.592,-1.0768,0.978,0.0541,0,3.6284,-1.586,-1.6,A/B,1.08,A/B,-0.004
Triton Polling & Research,497,no,2,1.85,1,0,0,7.7144,17.285,1.4998,0.039,0.0000,0,9.7142,2.422,2.4,D/D,0.30,C/D,1.640
VCreek/AMG,501,no,1,0.9,1,0.079,0.61,5.7256,7.87,0.038,0.496,0.0079,0,6.2636,0.150,0.1,B/C,0.90,B/C,0.785
KG Polling,502,no,2,1.347,1,0.9578,0.36,5.0632,2.17,-0.0801,0.667,0.0958,0,5.4831,-0.364,10.0,F,0.00,F,0.563
JMC Analytics/Bold Blue Campaigns,503,no,5,3.4517,0.8,0.3358,0,5.8944,6.714,0.4601,0.202,0.0336,0,6.8545,0.539,0.5,C/D,0.60,B/C,0.587
Spry Strategies,508,no,5,2.75,0.8,-0.7075,-5.9544,6.0166,9.492,-0.4845,0.917,-0.0708,0,6.0321,-0.003,0.0,B/C,0.90,B/C,0.151
Harper Polling/Clarity Campaign Labs,513,no,1,0.8,0,-0.6172,0,5.6316,6.99,0,0.557,-0.0617,0,6.1316,0.063,0.1,B/C,0.90,B/C,0.687
co/efficient,514,no,5,4.5,0.8,-0.1942,-2.6307,4.254,2.652,-0.9753,0.968,-0.0194,0,3.7787,-1.487,-1.5,A/B,1.08,B/C,0.003
Univision/Latino Decisions/North Star Opinion Research,516,no,7,6.1,0.7143,0.1824,1.1474,5.5056,6.0714,0.4716,0.194,0.0182,0,6.4772,0.290,0.3,C/D,0.60,B/C,0.828
Ragnar Research Partners,517,no,2,1.85,1,0.0248,1.3189,5.4313,4.805,-0.0796,0.665,0.0025,0,5.8517,-0.121,-0.1,B/C,0.90,B/C,0.476
Data for Progress,522,yes,73,50.25,0.774,-3.5171,0.3842,5.6164,6.6355,-0.2544,0.828,-0.0482,0,5.362,-0.444,-0.4,B-,0.93,B,0.140
East Carolina University,523,yes,11,8.3,0.6364,-1.6599,0.2037,6.4428,8.9718,0.0669,0.452,-0.1509,0,6.5097,0.312,0.3,C/D,0.60,B/C,0.298
Odney,524,no,1,0.5172,1,0.0172,0,5.3349,2.06,-0.1678,0.75,0.0017,0,5.6671,-0.243,-0.2,B/C,0.90,B/C,0.554
Victory Enterprises,525,no,1,0.4653,0,-0.9691,0,6.0639,17.34,0.3895,0.23,-0.0969,0,6.9534,0.604,0.6,C/D,0.60,B/C,0.924
BWD Global,527,no,2,0.7673,1,0.3691,0,5.8229,13.5,0.1869,0.336,0.0369,0,6.5098,0.312,0.3,C/D,0.60,B/C,1.046
Vox Populi Communications,529,no,1,0.0932,1,0.0777,0,5.495,3.52,-0.0422,0.616,0.0078,0,5.9528,-0.055,-0.1,B/C,0.90,B/C,0.621
Edgewater Research/My People Vote,530,no,2,1.7,1,0.696,0.51,4.8652,1.7,-0.0123,0.578,0.0696,0,5.3529,-0.450,-0.4,B/C,0.90,B/C,0.528
Park Street Strategies,534,no,1,0.3,1,0.3129,0,5.4204,2.41,-0.093,0.681,0.0313,0,5.8274,-0.137,-0.1,B/C,0.90,B/C,0.499
Morningside College,536,no,1,0.3,0,-0.6871,0,5.5404,6.41,0.027,0.517,-0.0687,0,6.0674,0.021,0.0,B/C,0.90,B/C,0.603
Swayable,543,yes,89,71.85,0.8876,4.8059,0.4973,6.2918,7.2469,0.7314,0.11,0.0540,0,7.0232,0.650,0.7,C,0.75,C,1.200
Beacon Research,545,no,3,1.95,1,0.5578,0,5.798,7.9733,0.4217,0.222,0.0558,0,6.7197,0.450,0.5,C/D,0.60,B/C,0.802
AtlasIntel,546,yes,22,16,0.75,0.5465,-1.6351,3.1657,4.5836,-1.9592,0.998,0.0248,0.158775,1.365275,-3.076,-3.1,A+,1.30,A,-0.750
Elucd,549,no,4,1.2,0.5,-1.2523,0,6.4056,12.9475,0.3952,0.228,-0.1252,0,7.3008,0.833,0.8,C/D,0.60,B/C,1.267
Point Blank Political,550,no,6,1.8,0.8333,-0.5306,0,6.4417,10.67,0.7631,0.102,-0.0531,0,7.7048,1.099,1.1,C/D,0.60,C/D,1.489
Pasquines,552,no,1,0.2178,1,0,0,5.6198,10.39,0.0155,0.529,0.0000,0,6.1353,0.065,0.1,B/C,0.90,B/C,0.605
Concord Public Opinion Partners,553,no,1,0.3,1,0.0206,0,5.7504,13.41,0.1241,0.389,0.0021,0,6.3745,0.223,0.2,C/D,0.60,B/C,0.913
ROI Rocket,554,no,3,0.9,1,0.0206,0,5.2513,2.6,-0.3965,0.893,0.0021,0,5.3548,-0.449,-0.4,B/C,0.90,B/C,0.223
RMG Research,555,no,25,23.55,0.76,0.346,0.1377,5.9253,6.0076,0.0055,0.541,0.0138,0,6.4308,0.260,0.3,C+,0.85,B-,0.424
Amber Integrated,556,no,1,0.8,1,0.2818,0,5.1028,0.38,-0.351,0.874,0.0282,0,5.2518,-0.517,-0.5,B/C,0.90,B/C,0.499
Hofstra University,558,no,2,1.8,1,0.5967,2.2978,5.6905,6.44,0.3718,0.238,0.0597,0,6.5623,0.346,0.3,C/D,0.60,B/C,0.788
Opinium,559,no,2,1.8,1,0.5967,3.2978,5.8705,7.24,0.5518,0.163,0.0597,0,6.9223,0.584,0.6,C/D,0.60,B/C,0.879
OurProgress (The Progress Campaign),561,no,1,0.3,1,0.0206,0,5.6298,9.39,0.0035,0.545,0.0021,0,6.1333,0.064,10.0,F,0.00,F,0.616
Redfield & Wilton Strategies,562,yes,9,9,0.7778,1.2492,2.4544,6.4994,6.6089,1.753,0.027,0.1249,0,8.2524,1.459,1.5,D/D,0.30,B/C,0.735
brilliant corners Research & Strategies,564,no,1,0.9,0,-0.9003,3.82,6.1216,12.27,0.3434,0.257,-0.0900,0,6.965,0.612,0.6,C/D,0.60,B/C,0.832
L√©ger,572,no,3,3,1,0.8043,0.0533,5.0245,3.8833,-0.0968,0.685,0.0804,0,5.4277,-0.401,-0.4,B/C,0.90,B/C,0.599
University of Maryland,575,no,1,0.3101,0,-0.6506,2.19,5.5485,6.64,0.0606,0.454,-0.0651,0,6.1091,0.048,0.0,B/C,0.90,B/C,0.671
Gotham Research Group,576,no,1,0.5235,1,0.074,1.61,5.5259,5.75,-0.0842,0.677,0.0074,0,5.9417,-0.062,-0.1,B/C,0.90,B/C,0.623
David Binder Research,578,no,3,1.6,0.3333,-1.3742,0.3438,5.14,4.22,-0.2436,0.818,-0.1374,0,5.3964,-0.421,-0.4,B/C,0.90,B/C,0.309
Targeted Persuasion,579,no,1,0.2178,1,0.3796,0,5.4141,0.95,-0.1285,0.71,0.0380,0,5.7856,-0.165,-0.2,B/C,0.90,B/C,0.538
University of Colorado,580,no,2,1.3796,1,0.4724,6.7105,5.6675,6.715,0.5078,0.177,0.0472,0,6.6753,0.421,0.4,C/D,0.60,B/C,0.814
John Zogby Strategies/EMI Research Solutions,583,no,2,1.8,1,0.5967,-3.7356,4.7277,1.11,-0.591,0.942,0.0597,0,4.6367,-0.922,-0.9,B/C,0.90,B/C,0.354
Kiaer Research,585,no,2,1.9,1,0.7416,5.6453,6.4779,10.615,0.8923,0.08,0.0742,0,7.8702,1.208,1.2,D/D,0.30,B/C,1.077
Auburn University at Montgomery,588,no,2,1.9,1,0,0.2189,5.9434,7.86,0.023,0.523,0.0000,0,6.4664,0.283,0.3,C/D,0.60,B/C,0.849
Cardinal Point Analytics (CardinalGPS),591,no,3,2.75,1,1.0793,-6.9022,4.6609,2.4867,-0.6528,0.95,0.1079,0,4.5081,-1.006,-1.0,B/C,0.90,B/C,0.225
Colby College,593,no,6,5.5,0.6667,-1.3653,0.0582,6.9171,8.31,1.0855,0.059,-0.1365,0,8.5026,1.624,1.6,D/D,0.30,B/C,0.903
El Nuevo D√≠a/The Research Office,599,no,2,1.65,1,0.536,0,4.8838,1.735,-0.4075,0.903,0.0536,0,4.9763,-0.698,-0.7,B/C,0.90,B/C,0.354
Jorge Ben√≠tez,600,no,4,3.3,0.5,-0.928,0,5.3831,5.13,0.314,0.273,-0.0928,0,6.1971,0.106,0.1,B/C,0.90,B/C,0.602
"University of Nevada, Las Vegas Lee Business School",609,no,5,4.6,0.6,-0.3771,0.1433,4.453,3.196,-0.1851,0.763,-0.0377,0,4.7679,-0.835,-0.8,B/C,0.90,B/C,0.260
Brandwatch Qriously,610,no,3,3,1,0.8043,2.72,5.8245,6.55,0.7032,0.122,0.0804,0,7.0277,0.653,0.7,C/D,0.60,B/C,0.920
Citizen Data,616,no,12,11.5,0.5833,-1.1554,2.6782,7.0139,7.0417,2.1289,0.009,-0.0963,0.41955,10.06235,2.651,2.7,D+,0.50,B/C,1.071
MWR Strategies,617,no,2,1.4733,0.5,-0.0327,-2.9797,4.9659,1.785,-0.2473,0.824,-0.0033,0,5.2186,-0.538,-0.5,B/C,0.90,B/C,0.410
J.L. Partners,619,no,2,2,1,0.5362,3.72,5.9208,7.55,0.6688,0.139,0.0536,0,7.0896,0.694,0.7,C/D,0.60,B/C,0.872
Global Marketing Research Services,621,no,1,1,1,0.2681,5.72,5.9172,9.55,0.5344,0.165,0.0268,0,6.9516,0.603,0.6,C/D,0.60,B/C,0.900
Open Model Project,629,no,2,1.8,0,-1.1972,-5.145,5.539,5.655,0.5173,0.173,-0.1197,0,6.5563,0.343,0.3,C/D,0.60,B/C,0.798
The Justice Collaborative Institute,630,no,2,1.9,1,0.8442,3.4232,5.7235,6.67,0.5265,0.171,0.0844,0,6.75,0.470,0.5,C/D,0.60,B/C,0.874
Cometrends,631,no,1,1,1,0.2681,3.72,5.7172,7.55,0.3344,0.261,0.0268,0,6.5516,0.339,0.3,C/D,0.60,B/C,0.788
Bluegrass Community and Technical College,632,no,2,1.9,1,0.0024,-0.7768,6.5617,10.935,0.4052,0.226,0.0002,0,7.4669,0.942,0.9,C/D,0.60,B/C,1.108
Long Island University,633,no,1,1,1,0.2681,2.72,5.6172,6.55,0.2344,0.301,0.0268,0,6.3516,0.208,0.2,C/D,0.60,B/C,0.765
AYTM,635,no,4,4,0.75,0.4966,0.2075,4.7591,3.6275,-0.2306,0.803,0.0497,0,5.0285,-0.664,-0.7,B/C,0.90,B/C,0.587
Gazette Communications,640,no,2,0.6092,1,0.2438,4.0514,5.6751,8.065,0.2015,0.326,0.0244,0,6.3766,0.224,0.2,C/D,0.60,B/C,0.767
The Polling Company Inc./National Research Inc.,644,no,1,0.6988,0,-0.5977,1.71,5.312,2.63,-0.2334,0.807,-0.0598,0,5.5786,-0.301,-0.3,B/C,0.90,B/C,0.529
USC Schwarzenegger Institute,648,no,1,1,1,0,6.55,5.7462,7.84,0.3623,0.246,0.0000,0,6.6085,0.377,0.4,C/D,0.60,B/C,0.851
Southern Research Group,649,no,1,0.3124,0,-0.8144,0,5.5843,7.78,0,0.557,-0.0814,0,6.0843,0.032,0.0,B/C,0.90,B/C,0.702
Reconnect Research/Probolsky Research,651,no,2,1.8,0.5,-0.1972,-1.145,4.819,1.655,-0.2027,0.773,-0.0197,0,5.1163,-0.606,-0.6,B/C,0.90,B/C,0.561
GOP Calls,654,no,2,0.841,1,0,0,6.8194,21.04,0.8453,0.084,0.0000,0,8.1647,1.402,1.4,D/D,0.30,B/C,1.300
Bainbridge Media Group,656,no,1,0.3805,1,0,0,6.1096,21.18,0.4097,0.224,0.0000,0,7.0193,0.647,0.6,C/D,0.60,B/C,0.953
Detroit Free Press,663,no,1,0.2959,1,0.286,1.8,5.6161,8.98,0.0533,0.468,0.0286,0,6.1694,0.088,0.1,B/C,0.90,B/C,0.715
The Kitchens Group,664,yes,1,0.3805,0,-0.5242,0,5.7367,11.38,0.1487,0.368,-0.0524,0,5.8854,-0.099,-0.1,B/C,0.90,B/C,0.132
Sky Research,665,no,1,0.6988,0,-0.5977,-4.39,5.7382,8.73,0.1928,0.332,-0.0598,0,6.431,0.260,0.3,C/D,0.60,B/C,0.715
Tufts University,666,no,1,1,1,0.2681,-1.28,5.2172,2.55,-0.1656,0.748,0.0268,0,5.5516,-0.319,-0.3,B/C,0.90,B/C,0.548
University of Wyoming,667,no,3,2.7,1,0,0,8.1302,15.1533,1.8084,0.025,0.0000,0,10.4386,2.899,2.9,D/D,0.30,C/D,1.639
Rethink Priorities,672,no,2,1.8,1,0.5967,-0.2356,5.2345,3.79,-0.0842,0.677,0.0597,0,5.6503,-0.254,10.0,F,0.00,F,0.502
University of Georgia Survey Research Center,674,no,1,0.2479,1,0.1725,-0.6,5.6193,9.78,0.0149,0.533,0.0173,0,6.1342,0.065,0.1,B/C,0.90,B/C,0.676
,,,,,,,,,,,,,,,,,,,,